,upc_clean,promo_period,Item_Description,Promo_Start_Week,Promo_End_Week,Promo_Weeks,Regular_Price,Special_Price,Unit_Cost,Baseline_Units,Promo_Units,Baseline_Revenue,Promo_Revenue,Incremental_Revenue,Promo_Spend,ROI,Lift,Breakeven_Lift
1621,3600003004,6_7,KOTEX U ULTRATHIN PADS REG 4/44ct,6,7,2,7.99,5.98,5.1,0.0,0.0,0.0,0.0,0.0,0.0,,,
1622,36000030211,12_13,KOTEX LONG SUPER MAXI 8/22 CT,12,13,2,4.99,3.48,3.22,0.0,0.0,0.0,0.0,0.0,0.0,,,
1623,3600003028,10_11,KOTEX U MAXI PADS LONG 3/44ct,10,11,2,7.99,5.98,4.99667,0.0,0.0,0.0,0.0,0.0,0.0,,,
1624,3600003028,5,KOTEX U MAXI PADS LONG 3/44ct,5,5,1,7.99,5.98,4.97,0.0,0.0,0.0,0.0,0.0,0.0,,,
1625,3600003028,6_7,KOTEX U MAXI PADS LONG 3/44ct,6,7,2,7.99,5.98,4.97,0.0,0.0,0.0,0.0,0.0,0.0,,,
1626,3600003050,10_11,KOTEX U ULTRATHIN PADS N/W HEAVY 6/40ct,10,11,2,7.99,5.98,4.975,0.0,0.0,0.0,0.0,0.0,0.0,,,
1627,3600003050,5,KOTEX U ULTRATHIN PADS N/W HEAVY 6/40ct,5,5,1,7.99,5.98,5.06667,0.0,0.0,0.0,0.0,0.0,0.0,,,
1628,3600003050,6_7,KOTEX U ULTRATHIN PADS N/W HEAVY 6/40ct,6,7,2,7.99,5.98,5.06667,0.0,0.0,0.0,0.0,0.0,0.0,,,
1629,3600003800,12_13,KOTEX U REGULAR PADS 8/22ct,12,13,2,4.99,3.48,3.22,0.0,0.0,0.0,0.0,0.0,0.0,,,
1630,3600003900,12_13,KOTEX U ULTRA THIN LONG PADS 8/20ct,12,13,2,4.99,3.48,3.22,0.0,0.0,0.0,0.0,0.0,0.0,,,
1631,36000053631,10_11,KOTEX U BY ULTRATHIN PADS + WINGS REG 6/36ea,10,11,2,7.99,5.98,5.06667,0.0,0.0,0.0,0.0,0.0,0.0,,,
1632,36000053631,5,KOTEX U BY ULTRATHIN PADS + WINGS REGULAR 6/36ea,5,5,1,7.99,5.98,5.06667,0.0,0.0,0.0,0.0,0.0,0.0,,,
1633,36000053631,6_7,KOTEX U BY ULTRATHIN PADS + WINGS REGULAR 6/36ea,6,7,2,7.99,5.98,5.06667,0.0,0.0,0.0,0.0,0.0,0.0,,,
1634,3600011067,5,KOTEX LIGHTDAYS EXTRA COVERAGE 4/80ct,5,5,1,5.989999999999999,4.48,3.7,0.0,0.0,0.0,0.0,0.0,0.0,,,
1635,3600011067,6_7,KOTEX LIGHTDAYS EXTRA COVERAGE 4/80ct,6,7,2,5.989999999999999,4.48,3.7,0.0,0.0,0.0,0.0,0.0,0.0,,,
1636,3600031803,10_11,HUGGIES BW NAT CARE BW SOFT PACK 8/56ct,10,11,2,3.9900000000000007,2.5,2.005,0.0,0.0,0.0,0.0,0.0,0.0,,,
1637,3600031803,14,HUGGIES BW NAT CARE BW SOFT PACK 8/56ct,14,14,1,3.9900000000000007,2.5,2.005,0.0,0.0,0.0,0.0,0.0,0.0,,,
