Item,Week #,Regular Price,Special Price,"Units Sold
Last Week","Units Sold
This Week",Promo Spend,"Incremental 
Revenue",Promo ROI
ECONO BEBIDA POUCH KIWI STRAWBERRY 4/10/6.75oz,14,$3.00,$2.28,50,58,$42,-$18,-0.4
ECONO CAFE MOLIDO PREMIUM ARABICA 100% PR 10/6oz,7,$4.99,$3.78,16,19,$23,-$8,-0.3
ECONO CAFE MOLIDO PREMIUM ARABICA 100% PR 10/6oz,13,$4.99,$3.78,20,29,$35,$10,0.3
ECONO LECHE DE COCO 24/13.5oz,3,$1.49,$1.25,171,248,$60,$55,0.9
ECONO LECHE DE COCO 24/13.5oz,4,$1.49,$1.25,248,304,$73,$10,0.1
ECONO LECHE DE COCO 24/13.5oz,6,$1.49,$1.25,124,268,$64,$150,2.3
ECONO LECHE DE COCO 24/13.5oz,7,$1.49,$1.25,268,468,$112,$186,1.7
ECONO LECHE DE COCO 24/13.5oz,10,$1.49,$1.25,169,239,$57,$47,0.8
ECONO LECHE DE COCO 24/13.5oz,11,$1.49,$1.25,239,278,$67,-$9,-0.1
ECONO LECHE DE COCO 24/13.5oz,14,$1.49,$1.25,200,223,$54,-$19,-0.4
ECONO BAG TALL KITCHEN DRAWSTRING SCT VANILLA 13gl 12/40ct,2,$5.69,$4.98,93,77,$55,-$146,-2.7
ECONO ACEITE OLIVA XTRA VIRGEN BOT 15/30.43oz,3,$12.49,$10.98,30,124,$187,$987,5.3
ECONO ACEITE OLIVA XTRA VIRGEN BOT 15/30.43oz,4,$12.49,$10.98,124,80,$121,-$670,-5.5
ECONO ACEITE OLIVA XTRA VIRGEN BOT 15/30.43oz,5,$12.49,$10.98,80,62,$94,-$318,-3.4
ECONO ACEITE OLIVA XTRA VIRGEN BOT 15/30.43oz,6,$12.49,$9.98,62,76,$191,-$16,-0.1
ECONO ACEITE OLIVA XTRA VIRGEN BOT 15/30.43oz,7,$12.49,$9.98,76,126,$316,$308,1.0
ECONO ACEITE OLIVA BOT 15/30.43oz,3,$12.49,$10.98,33,69,$104,$345,3.3
ECONO ACEITE OLIVA BOT 15/30.43oz,4,$12.49,$10.98,69,53,$80,-$280,-3.5
ECONO ACEITE OLIVA BOT 15/30.43oz,5,$12.49,$10.98,53,58,$88,-$25,-0.3
ECONO ACEITE OLIVA BOT 15/30.43oz,6,$12.49,$9.98,58,81,$203,$84,0.4
ECONO ACEITE OLIVA BOT 15/30.43oz,7,$12.49,$9.98,81,128,$321,$266,0.8
ECONO ACEITE OLIVA BOT 15/30.43oz,10,$12.49,$9.98,48,41,$103,-$190,-1.8
ECONO ACEITE OLIVA BOT 15/30.43oz,11,$12.49,$9.98,41,51,$128,-$3,0.0
ECONO VINAGRE BLANCO 24/16oz,5,$0.89,$0.78,760,759,$83,-$84,-1.0
ECONO VINAGRE BLANCO 24/16oz,6,$0.89,$0.78,759,1048,$115,$142,1.2
ECONO VINAGRE BLANCO 24/16oz,7,$0.89,$0.78,1048,1764,$194,$443,2.3
ECONO VINAGRE BLANCO 24/16oz,10,$0.89,$0.78,659,899,$99,$115,1.2
ECONO VINAGRE BLANCO 24/16oz,11,$0.89,$0.78,899,1045,$115,$15,0.1
ECONO VINAGRE SIDRA ORO 24/16oz,5,$0.99,$0.78,188,219,$46,-$15,-0.3
ECONO VINAGRE SIDRA ORO 24/16oz,6,$0.99,$0.78,219,203,$43,-$58,-1.4
ECONO VINAGRE SIDRA ORO 24/16oz,7,$0.99,$0.78,203,304,$64,$36,0.6
ECONO VINAGRE SIDRA ORO 24/16oz,10,$0.99,$0.78,149,188,$39,-$1,0.0
ECONO VINAGRE SIDRA ORO 24/16oz,11,$0.99,$0.78,188,190,$40,-$38,-1.0
ECONO PRESERVA MIXED FRUIT 12/15oz,4,$3.99,$2.50,10,6,$9,-$25,-2.8
ECONO PRESERVA MIXED FRUIT 12/15oz,9,$3.99,$2.50,11,7,$10,-$26,-2.5
ECONO IODIZED SEA SALT 12/24.5oz,5,$3.49,$1.67,66,124,$226,-$23,-0.1
ECONO VINAGRE BALSAMICO 12/16.9oz,4,$4.79,$3.48,17,7,$9,-$57,-6.2
ECONO VINAGRE BALSAMICO 12/16.9oz,11,$4.79,$3.48,11,3,$4,-$42,-10.8
ECONO MUSHROOMS 12/10oz,6,$2.99,$2.50,11,10,$5,-$8,-1.6
ECONO MUSHROOMS 12/10oz,7,$2.99,$2.50,10,20,$10,$20,2.1
ECONO PAPEL HIGIENICO MEGA 600HJ 4/12ct,5,$7.99,$6.48,82,241,$364,$907,2.5
ECONO PAPEL HIGIENICO MEGA 600HJ 4/12ct,12,$7.99,$6.48,105,310,$468,"$1,170",2.5
ECONO PAPEL HIGIENICO MEGA 600HJ 4/12ct,13,$7.99,$6.48,310,241,$364,-$915,-2.5
ECONO BATERIAS ALKALINA AAA 48/4pk,8,$2.99,$2.00,27,22,$22,-$37,-1.7
ECONO BATERIAS ALKALINA AAA 48/4pk,9,$2.99,$2.00,22,38,$38,$10,0.3
ECONO BATERIAS ALKALINA AAA 48/4pk,12,$2.99,$2.00,11,42,$42,$51,1.2
ECONO BATERIAS ALKALINA AAA 48/4pk,13,$2.99,$2.00,42,27,$27,-$72,-2.7
ECONO DET LIQUIDO HE OXI 2/270oz,2,$13.99,$11.98,156,69,$139,"-$1,356",-9.8
ECONO BATERIAS ALKALINA AA 48/4pk,8,$2.99,$2.00,17,25,$25,-$1,0.0
ECONO BATERIAS ALKALINA AA 48/4pk,9,$2.99,$2.00,25,28,$28,-$19,-0.7
ECONO BATERIAS ALKALINA AA 48/4pk,12,$2.99,$2.00,10,36,$36,$42,1.2
ECONO BATERIAS ALKALINA AA 48/4pk,13,$2.99,$2.00,36,49,$49,-$10,-0.2
ECONO BATERIAS ALKALINA AAA 48/8pk,2,$4.29,$3.48,17,17,$14,-$14,-1.0
ECONO BATERIAS ALKALINA AAA 48/8pk,10,$4.29,$3.48,13,20,$16,$14,0.9
ECONO BATERIAS ALKALINA AAA 48/8pk,11,$4.29,$3.48,20,17,$14,-$27,-1.9
ECONO BATERIAS ALKALINA AA 48/8pk,2,$4.29,$3.48,11,5,$4,-$30,-7.4
ECONO BATERIAS ALKALINA AA 48/8pk,10,$4.29,$3.48,17,15,$12,-$21,-1.7
ECONO BATERIAS ALKALINA AA 48/8pk,11,$4.29,$3.48,15,11,$9,-$26,-2.9
ECONO MOSTAZA DIJON 12/12oz,5,$2.99,$1.50,25,15,$22,-$52,-2.3
ECONO MOSTAZA DIJON 12/12oz,6,$2.99,$1.50,15,27,$40,-$4,-0.1
ECONO MOSTAZA DIJON 12/12oz,7,$2.99,$1.50,27,33,$49,-$31,-0.6
ECONO MOSTAZA 12/20oz,5,$2.99,$1.50,26,31,$46,-$31,-0.7
ECONO MOSTAZA 12/20oz,6,$2.99,$1.50,31,47,$70,-$22,-0.3
ECONO MOSTAZA 12/20oz,7,$2.99,$1.50,47,73,$109,-$31,-0.3
ECONO FRUIT CUP MANDARIN ORANGE 100% FRUIT JUICE 6/4/3.5oz,11,$3.99,$3.00,14,10,$10,-$26,-2.6
ECONO FRUIT CUP MIX FRUITS 100% FRUIT JUICE 6/4/3.5oz,6,$3.99,$3.00,14,14,$14,-$14,-1.0
ECONO FRUIT CUP MIX FRUITS 100% FRUIT JUICE 6/4/3.5oz,7,$3.99,$3.00,14,22,$22,$10,0.5
ECONO FRUIT CUP MIX FRUITS 100% FRUIT JUICE 6/4/3.5oz,11,$3.99,$3.00,12,10,$10,-$18,-1.8
ECONO FRUIT CUP MIX FRUIT/CHERRY 100% FRUIT JUICE 6/4/3.5oz,7,$3.99,$3.00,13,17,$17,-$1,-0.1
ECONO FRUIT CUP MIX FRUIT/CHERRY 100% FRUIT JUICE 6/4/3.5oz,10,$3.99,$3.00,14,23,$23,$13,0.6
ECONO FRUIT CUP MIX FRUIT/CHERRY 100% FRUIT JUICE 6/4/3.5oz,11,$3.99,$3.00,23,15,$15,-$47,-3.1
ECONO FRUIT CUP DICED PEACHES 100% FRUIT JUICE 6/4/3.5oz,11,$3.99,$3.00,14,16,$16,-$8,-0.5
